year,team,probowler_count,win%,division,playoffs,attendance,capacity,attend%,climate,year 1 attend%,year 1 attendance
2006,jax,-0.6580083464217319,-0.011249226642251609,0.4626480036951401,-0.6414960643497905,66858.0,-0.5145988457165562,1.0,-0.1923002762359031,0.97,65301.0
2007,jax,-1.0715553876713033,0.967433491233637,-0.43608448195187843,0.8727330177782031,65301.0,-0.45214123620764457,0.97,-0.1923002762359031,0.97,65167.0
2008,jax,-1.4851024289208747,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,65167.0,-0.4707919463609517,0.97,-0.1923002762359031,0.74,49651.0
2009,jax,-0.6580083464217319,-0.3374767992675478,1.3613804893421588,-0.6414960643497905,49651.0,-0.4824740319561679,0.74,-0.1923002762359031,0.94,63032.0
2010,jax,-0.24446130517216047,-0.011249226642251609,-0.43608448195187843,-0.6414960643497905,63032.0,-0.4879590099936437,0.94,-0.1923002762359031,0.93,62331.0
2011,jax,-0.6580083464217319,-0.9899319445181402,0.4626480036951401,-0.6414960643497905,62331.0,-0.4923789984594317,0.93,-0.1923002762359031,0.97,64984.0
2012,jax,-1.4851024289208747,-1.9686146623940288,1.3613804893421588,-0.6414960643497905,64984.0,-0.49626269231658343,0.97,-0.1923002762359031,0.89,59940.0
2013,jax,-1.0715553876713033,-1.3161595171434366,0.4626480036951401,-0.6414960643497905,59940.0,-0.4484020237326718,0.89,-0.1923002762359031,0.94,62961.0
2014,jax,-1.4851024289208747,-1.6423870897687327,0.4626480036951401,-0.6414960643497905,62961.0,-0.4981564886238298,0.94,-0.1923002762359031,0.92,61463.0
2015,jax,-1.0715553876713033,-0.9899319445181402,0.4626480036951401,-0.6414960643497905,61463.0,-0.5214021188754301,0.92,-0.1923002762359031,0.92,61915.0
2016,jax,-1.4851024289208747,-1.6423870897687327,1.3613804893421588,-0.6414960643497905,61915.0,-0.455071673064148,0.92,-0.1923002762359031,0.96,64303.0
2017,jax,0.9961798185765537,0.6412059186083408,-1.3348169675988968,1.6298475588421997,64303.0,-0.4978183680002324,0.96,-0.1923002762359031,0.98,66674.0
2018,jax,-0.6580083464217319,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,66674.0,-0.3557347326128903,0.98,-0.1923002762359031,0.93,63085.0
2006,kan,0.16908573607741093,0.3149783459830446,-0.43608448195187843,0.11561847671420634,77909.0,1.1920455500189089,0.98,-0.1923002762359031,0.97,76777.0
2007,kan,-0.6580083464217319,-1.3161595171434366,0.4626480036951401,-0.6414960643497905,76777.0,1.1451389855783676,0.97,-0.1923002762359031,0.97,74077.0
2008,kan,-0.6580083464217319,-1.9686146623940288,1.3613804893421588,-0.6414960643497905,74077.0,0.7693410944296886,0.97,-0.1923002762359031,0.88,67514.0
2009,kan,-1.4851024289208747,-1.3161595171434366,1.3613804893421588,-0.6414960643497905,67514.0,0.8169200176684704,0.88,-0.1923002762359031,0.88,67672.0
2010,kan,0.5826327773269824,0.6412059186083408,-1.3348169675988968,0.11561847671420634,67672.0,0.8411602469603252,0.88,-0.1923002762359031,0.94,72082.0
2011,kan,-0.6580083464217319,-0.3374767992675478,1.3613804893421588,-0.6414960643497905,72082.0,0.8118604492059914,0.94,-0.1923002762359031,0.89,68508.0
2012,kan,0.9961798185765537,-1.9686146623940288,1.3613804893421588,-0.6414960643497905,68508.0,0.8513238362011706,0.89,-0.1923002762359031,0.98,75359.0
2013,kan,2.6503679835748395,0.967433491233637,-0.43608448195187843,0.11561847671420634,75359.0,0.8407469544950014,0.98,-0.1923002762359031,0.98,74967.0
2014,kan,0.16908573607741093,0.3149783459830446,-0.43608448195187843,-0.6414960643497905,74967.0,0.7867434056928949,0.98,-0.1923002762359031,0.97,74086.0
2015,kan,0.9961798185765537,0.967433491233637,-0.43608448195187843,0.8727330177782031,74086.0,0.770593754066853,0.97,-0.1923002762359031,0.96,73328.0
2016,kan,1.4097268598261252,1.2936610638589332,-1.3348169675988968,0.8727330177782031,73328.0,0.771405663090939,0.96,-0.1923002762359031,0.97,74106.0
2017,kan,0.16908573607741093,0.6412059186083408,-1.3348169675988968,0.11561847671420634,74106.0,0.7733774421494352,0.97,-0.1923002762359031,0.99,75972.0
2018,kan,0.9961798185765537,1.2936610638589332,-1.3348169675988968,1.6298475588421997,75972.0,0.8194770038806911,0.99,-0.1923002762359031,0.961,73465.0
2006,sdg,3.0639150248244107,1.9461162091095257,-1.3348169675988968,0.8727330177782031,66378.0,0.09512735100864479,0.93,2.359134761403861,0.92,65502.0
2007,sdg,2.2368209423252683,0.967433491233637,-1.3348169675988968,1.6298475588421997,65502.0,0.07131617898247017,0.92,2.359134761403861,0.96,68138.0
2008,sdg,-0.6580083464217319,-0.011249226642251609,-1.3348169675988968,0.8727330177782031,68138.0,0.041513948812469656,0.96,2.359134761403861,0.95,67543.0
2009,sdg,0.9961798185765537,1.6198886364842293,-1.3348169675988968,0.8727330177782031,67543.0,0.057824560125560885,0.95,2.359134761403861,0.92,65530.0
2010,sdg,0.16908573607741093,0.3149783459830446,-0.43608448195187843,-0.6414960643497905,65530.0,0.07542514465219864,0.92,2.359134761403861,0.92,65392.0
2011,sdg,0.5826327773269824,-0.011249226642251609,-0.43608448195187843,-0.6414960643497905,65392.0,0.05517381385140873,0.92,2.359134761403861,0.84,59964.0
2012,sdg,-1.4851024289208747,-0.3374767992675478,-0.43608448195187843,-0.6414960643497905,59964.0,0.09668275275985885,0.84,2.359134761403861,0.9,64205.0
2013,sdg,-0.6580083464217319,0.3149783459830446,0.4626480036951401,0.8727330177782031,64205.0,0.09036090875326273,0.9,2.359134761403861,0.92,65432.0
2014,sdg,-0.6580083464217319,0.3149783459830446,-0.43608448195187843,-0.6414960643497905,65432.0,0.06104376480815584,0.92,2.359134761403861,0.95,66772.0
2015,sdg,-1.0715553876713033,-1.3161595171434366,1.3613804893421588,-0.6414960643497905,66772.0,-0.05174579810186967,0.95,2.359134761403861,0.8,57024.0
2018,sdg,1.4097268598261252,1.2936610638589332,-0.43608448195187843,0.8727330177782031,32768.0,-5.884847863245826,1.21,2.359134761403861,1.18,31750.0
2006,ram,-0.24446130517216047,-0.011249226642251609,-0.43608448195187843,-0.6414960643497905,65326.0,-0.7214324376286239,1.0,2.359134761403861,0.98,64294.0
2007,ram,-1.0715553876713033,-1.6423870897687327,1.3613804893421588,-0.6414960643497905,64294.0,-0.6836134217685372,0.98,2.359134761403861,0.92,59980.0
2008,ram,-1.4851024289208747,-1.9686146623940288,1.3613804893421588,-0.6414960643497905,59980.0,-0.7390305505969629,0.92,2.359134761403861,0.85,55237.0
2009,ram,-1.0715553876713033,-2.294842235019325,1.3613804893421588,-0.6414960643497905,55237.0,-0.7675101714741863,0.85,2.359134761403861,0.81,52922.0
2010,ram,-1.0715553876713033,-0.3374767992675478,-0.43608448195187843,-0.6414960643497905,52922.0,-0.720109017327733,0.81,2.359134761403861,0.86,56394.0
2011,ram,-1.4851024289208747,-1.9686146623940288,1.3613804893421588,-0.6414960643497905,56394.0,-0.6878937220295486,0.86,2.359134761403861,0.87,56703.0
2012,ram,-1.4851024289208747,-0.1743630129548997,0.4626480036951401,-0.6414960643497905,56703.0,-0.7417023903427942,0.87,2.359134761403861,0.87,56957.0
2013,ram,-0.6580083464217319,-0.3374767992675478,1.3613804893421588,-0.6414960643497905,56957.0,-0.702286007021717,0.87,2.359134761403861,0.87,57018.0
2014,ram,-0.6580083464217319,-0.6637043718928439,1.3613804893421588,-0.6414960643497905,57018.0,-0.6928198677201981,0.87,2.359134761403861,0.8,52402.0
2015,ram,-0.24446130517216047,-0.3374767992675478,0.4626480036951401,-0.6414960643497905,52402.0,-0.6976033717196943,0.8,2.359134761403861,0.9,74121.0
2016,ram,-0.24446130517216047,-1.3161595171434366,0.4626480036951401,-0.6414960643497905,74121.0,1.5778586585357293,0.9,2.359134761403861,0.68,63392.0
2017,ram,1.8232739010756964,0.967433491233637,-1.3348169675988968,0.11561847671420634,63392.0,3.0449815399874627,0.68,2.359134761403861,0.77,72429.0
2018,ram,0.16908573607741093,1.6198886364842293,-1.3348169675988968,2.3869620999061967,72429.0,3.158403431923437,0.77,2.359134761403861,0.928,71229.0
2008,mia,-0.24446130517216047,0.967433491233637,-1.3348169675988968,0.11561847671420634,65489.0,0.621732034298892,0.87,1.338560746347955,0.9,67542.0
